country,country_code,country_iso,prefix,voice_rate_in_dollars,voice_unit_in_seconds
Spain,34,ESP,34675,0.08500,60
Spain,34,ESP,34676,0.08500,60
Spain,34,ESP,34677,0.08500,60
Spain,34,ESP,34678,0.08500,60
Spain,34,ESP,34679,0.08500,60
Spain,34,ESP,34680,0.08500,60
Spain,34,ESP,34685,0.08500,60
Spain,34,ESP,34686,0.08500,60
Spain,34,ESP,34687,0.08500,60
Spain,34,ESP,34689,0.08500,60
Spain,34,ESP,34690,0.08500,60
Spain,34,ESP,34691,0.08500,60
Spain,34,ESP,34692,0.08500,60
Spain,34,ESP,346931,0.10000,60
Spain,34,ESP,346932,0.10000,60
Spain,34,ESP,346933,0.10000,60
Spain,34,ESP,346934,0.10000,60
Spain,34,ESP,346935,0.10000,60
Spain,34,ESP,346936,0.10000,60
Spain,34,ESP,346937,0.10000,60
Spain,34,ESP,346938,0.10000,60
Spain,34,ESP,346939,0.10000,60
Spain,34,ESP,34695,0.08500,60
Spain,34,ESP,34696,0.08500,60
Spain,34,ESP,34697,0.08500,60
Spain,34,ESP,34699,0.08500,60
Spain,34,ESP,347,0.08500,60
Spain,34,ESP,34901,0.20400,60
Spain,34,ESP,34902,0.50400,60
Spain,34,ESP,34908,0.20400,60
Spain,34,ESP,34909,0.20400,60
Spain,34,ESP,3491,0.02500,60
Gibraltar,350,GIB,350,0.07900,60
Gibraltar,350,GIB,3505,0.55300,60
Gibraltar,350,GIB,3506,0.41200,60
Portugal,351,PRT,351,0.03100,60
Portugal,351,PRT,3511,0.16400,60
Portugal,351,PRT,3512,0.02300,60
Portugal,351,PRT,3513,0.02600,60
Portugal,351,PRT,3516,0.15200,60
Portugal,351,PRT,3517,0.02900,60
Portugal,351,PRT,3518,0.02600,60
Portugal,351,PRT,3519,0.12100,60
Luxembourg,352,LUX,352,0.03300,60
Luxembourg,352,LUX,3520,0.24900,60
Luxembourg,352,LUX,3522,0.34900,60
Luxembourg,352,LUX,3526,0.29600,60
Luxembourg,352,LUX,3529,0.34900,60
Ireland,353,IRL,353,0.02200,60
Ireland,353,IRL,3538,0.24100,60
Iceland,354,ISL,354,0.03500,60
Iceland,354,ISL,3543,0.16200,60
Iceland,354,ISL,3546,0.17400,60
Iceland,354,ISL,3547,0.17200,60
Iceland,354,ISL,3548,0.22300,60
Iceland,354,ISL,3549,0.02900,60
Albania,355,ALB,355,0.11800,60
Albania,355,ALB,3553,1.01400,60
Albania,355,ALB,3554,0.12600,60
Albania,355,ALB,3555,1.01400,60
Albania,355,ALB,3556,0.45100,60
Malta,356,MLT,356,0.06700,60
Malta,356,MLT,3567,0.25000,60
Malta,356,MLT,3568,0.14600,60
Malta,356,MLT,3569,0.21300,60
Cyprus,357,CYP,357,0.02400,60
Cyprus,357,CYP,3571,0.05500,60
Cyprus,357,CYP,3572,0.02400,60
Cyprus,357,CYP,3577,0.08600,60
Cyprus,357,CYP,3579,0.05000,60
Finland,358,FIN,358,0.05200,60
Finland,358,FIN,3581,0.14200,60
Finland,358,FIN,3582,0.20600,60
Finland,358,FIN,3583,0.20600,60
Finland,358,FIN,3584,0.10300,60
Finland,358,FIN,3585,0.13000,60
Finland,358,FIN,3586,0.11600,60
Finland,358,FIN,3587,0.12800,60
Finland,358,FIN,3588,0.12600,60
Finland,358,FIN,3589,0.05200,60
Bulgaria,359,BGR,359,0.11100,60
Bulgaria,359,BGR,3591,0.38300,60
Bulgaria,359,BGR,3592,0.06300,60
Bulgaria,359,BGR,3593,0.05500,60
Bulgaria,359,BGR,3594,0.05900,60
Bulgaria,359,BGR,3595,0.05900,60
Bulgaria,359,BGR,3596,0.05900,60
Bulgaria,359,BGR,3597,0.05400,60
Bulgaria,359,BGR,3598,0.20300,60
Bulgaria,359,BGR,3599,0.29600,60
Hungary,36,HUN,36,0.02800,60
Hungary,36,HUN,361,0.02900,60
Hungary,36,HUN,362,0.17100,60
Hungary,36,HUN,363,0.09900,60
Hungary,36,HUN,366,0.02600,60
Hungary,36,HUN,367,0.16700,60
Hungary,36,HUN,369,0.01800,60
Lithuania,370,LTU,370,0.07000,60
Lithuania,370,LTU,3705,8.50400,60
Lithuania,370,LTU,3706,0.11500,60
Lithuania,370,LTU,3707,8.50400,60
Lithuania,370,LTU,3708,4.28500,60
Lithuania,370,LTU,3709,2.27300,60
Latvia,371,LVA,371,0.06000,60
Latvia,371,LVA,3712,0.26600,60
Latvia,371,LVA,3716,0.18400,60
Latvia,371,LVA,3717,0.04800,60
Latvia,371,LVA,3718,1.30100,60
Latvia,371,LVA,3719,1.74800,60
Estonia,372,EST,372,0.04300,60
Estonia,372,EST,3724,0.04500,60
Estonia,372,EST,3725,0.43200,60
Estonia,372,EST,3726,0.02900,60
Estonia,372,EST,3727,2.01200,60
Estonia,372,EST,3728,0.61100,60
Moldova,373,MDA,373,0.23900,60
Moldova,373,MDA,3732,0.23200,60
Moldova,373,MDA,3735,0.23200,60
Moldova,373,MDA,3736,0.20200,60
Moldova,373,MDA,3737,0.43200,60
Moldova,373,MDA,3739,1.26700,60
Armenia,374,ARM,374,0.11600,60
Armenia,374,ARM,3741,0.11200,60
Armenia,374,ARM,3744,0.27400,60
Armenia,374,ARM,3745,0.12100,60
Armenia,374,ARM,3746,0.33200,60
Armenia,374,ARM,3747,0.33600,60
Armenia,374,ARM,3749,0.32700,60
Belarus,375,BLR,375,0.25500,60
Belarus,375,BLR,3751,0.41200,60
Belarus,375,BLR,3752,0.26300,60
Belarus,375,BLR,3754,0.27700,60
Belarus,375,BLR,3756,1.77200,60
Andorra,376,AND,376,0.05000,60
Andorra,376,AND,3763,0.37800,60
Andorra,376,AND,3764,0.37800,60
Andorra,376,AND,3766,0.37800,60
